planar,psum,16,103.951,8.499999999870548
planar,psum,25,105.133,12.999999999606601
planar,psum,36,104.785,18.500000000259227
planar,psum,49,105.258,24.999999997976012
planar,psum,64,105.934,32.49999054063327
planar,psum,100,108.229,50.443912232618544
planar,psum,225,113.131,112.7776225021007
planar,psum,324,129.008,161.1127115321192
planar,psum,400,138.815,197.2448505239915
planar,psum,529,167.613,251.27788217353876
planar,psum,625,181.316,298.902375045324
planar,psum,729,213.174,365.78015970402527
planar,psum,841,190.287,409.35825145106014
planar,psum,900,392.067,438.6629992850544
planar,psum,1024,501.894,496.2979534121127
