full,psum,10,13.809,5.4999999999698685
full,psum,20,19.287,10.500000000000664
full,psum,30,39.786,15.499999999974682
full,psum,40,57.161,20.499999999952
full,psum,50,77.963,25.500000000004174
full,psum,100,219.162,50.50000371365188
full,psum,200,247.379,100.30709021361707
full,psum,300,324.074,150.7386918762316
full,psum,400,404.365,200.16096300597755
full,psum,500,535.268,250.02221570171386
full,psum,600,815.389,301.7452175249835
full,psum,700,1093.498,347.6836886306287
full,psum,800,1781.008,400.50286400751907
full,psum,900,2204.881,456.6995663157603
full,psum,1000,3231.762,506.8521655635284
