line,psum,10,105.692,5.49999999182286
line,psum,20,105.543,10.500015333192547
line,psum,30,104.701,15.48629600858343
line,psum,40,105.979,20.218463646419053
line,psum,50,106.847,25.31562612069678
line,psum,100,142.976,36.065540556719796
line,psum,200,133.528,54.40741691489196
line,psum,300,221.653,78.65050764911916
line,psum,400,136.566,104.38602402212572
line,psum,500,200.791,137.08678635955675
line,psum,600,259.071,192.15953187960883
line,psum,700,469.08,192.99389061945567
line,psum,800,374.97,216.07610594894805
line,psum,900,288.625,246.0465419961402
line,psum,1000,743.253,265.0398439064345
